Area of usual residence Code,Area of usual residence Name,Area of usual residence Geography,Age of Mother at birth (years),Number of live births,Number of stillbirths,Stillbirth rate,Unreliable indicator
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",Country,Under 20,"13,317",72,5.4,
K04000001,ENGLAND AND WALES,Country,Under 20,"13,312",71,5.3,
E92000001,ENGLAND,Country,Under 20,"12,508",67,5.3,
W92000004,WALES,Country,Under 20,804,4,5.0,[u]
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",Country,20 to 24,"67,201",270,4.0,
K04000001,ENGLAND AND WALES,Country,20 to 24,"67,190",269,4.0,
E92000001,ENGLAND,Country,20 to 24,"63,470",250,3.9,
W92000004,WALES,Country,20 to 24,"3,720",19,5.1,[u]
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",Country,25 to 29,"152,189",540,3.5,
K04000001,ENGLAND AND WALES,Country,25 to 29,"152,166",537,3.5,
E92000001,ENGLAND,Country,25 to 29,"144,764",511,3.5,
W92000004,WALES,Country,25 to 29,"7,402",26,3.5,
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",Country,30 to 34,"206,940",750,3.6,
K04000001,ENGLAND AND WALES,Country,30 to 34,"206,898",741,3.6,
E92000001,ENGLAND,Country,30 to 34,"197,846",705,3.6,
W92000004,WALES,Country,30 to 34,"9,052",36,4.0,
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",Country,35 to 39,"124,011",522,4.2,
K04000001,ENGLAND AND WALES,Country,35 to 39,"123,967",508,4.1,
E92000001,ENGLAND,Country,35 to 39,"119,147",480,4.0,
W92000004,WALES,Country,35 to 39,"4,820",28,5.8,
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",Country,40 to 44,"28,318",165,5.8,
K04000001,ENGLAND AND WALES,Country,40 to 44,"28,307",161,5.7,
E92000001,ENGLAND,Country,40 to 44,"27,355",155,5.6,
W92000004,WALES,Country,40 to 44,952,6,6.3,[u]
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",Country,45 and over,"2,641",12,4.5,[u]
K04000001,ENGLAND AND WALES,Country,45 and over,"2,640",12,4.5,[u]
E92000001,ENGLAND,Country,45 and over,"2,560",12,4.7,[u]
W92000004,WALES,Country,45 and over,80,0,[x],
