Area of usual residence Code,Area of usual residence Name,Age of Mother at birth (years),Number of live births
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",Under 20,13317.0
K04000001,ENGLAND AND WALES,Under 20,13312.0
E92000001,ENGLAND,Under 20,12508.0
W92000004,WALES,Under 20,804.0
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",20 to 24,67201.0
K04000001,ENGLAND AND WALES,20 to 24,67190.0
E92000001,ENGLAND,20 to 24,63470.0
W92000004,WALES,20 to 24,3720.0
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",25 to 29,152189.0
K04000001,ENGLAND AND WALES,25 to 29,152166.0
E92000001,ENGLAND,25 to 29,144764.0
W92000004,WALES,25 to 29,7402.0
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",30 to 34,206940.0
K04000001,ENGLAND AND WALES,30 to 34,206898.0
E92000001,ENGLAND,30 to 34,197846.0
W92000004,WALES,30 to 34,9052.0
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",35 to 39,124011.0
K04000001,ENGLAND AND WALES,35 to 39,123967.0
E92000001,ENGLAND,35 to 39,119147.0
W92000004,WALES,35 to 39,4820.0
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",40 to 44,28318.0
K04000001,ENGLAND AND WALES,40 to 44,28307.0
E92000001,ENGLAND,40 to 44,27355.0
W92000004,WALES,40 to 44,952.0
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE",45 and over,2641.0
K04000001,ENGLAND AND WALES,45 and over,2640.0
E92000001,ENGLAND,45 and over,2560.0
W92000004,WALES,45 and over,80.0
