Leading cause,Year,Deaths
Chronic lower respiratory diseases,2001,29294
Dementia and Alzheimer disease,2001,30576
Malignant neoplasm of trachea bronchus and lung,2001,33509
Influenza and pneumonia,2001,41453
Cerebrovascular diseases,2001,66726
Ischaemic heart diseases,2001,120890
Chronic lower respiratory diseases,2002,29834
Dementia and Alzheimer disease,2002,31362
Malignant neoplasm of trachea bronchus and lung,2002,33683
Influenza and pneumonia,2002,42758
Cerebrovascular diseases,2002,67384
Ischaemic heart diseases,2002,117476
Chronic lower respiratory diseases,2003,31643
Dementia and Alzheimer disease,2003,32943
Malignant neoplasm of trachea bronchus and lung,2003,33420
Influenza and pneumonia,2003,45205
Cerebrovascular diseases,2003,65764
Ischaemic heart diseases,2003,113895
Chronic lower respiratory diseases,2004,28927
Dementia and Alzheimer disease,2004,31635
Malignant neoplasm of trachea bronchus and lung,2004,33037
Influenza and pneumonia,2004,40203
Cerebrovascular diseases,2004,60454
Ischaemic heart diseases,2004,105854
Chronic lower respiratory diseases,2005,29856
Dementia and Alzheimer disease,2005,31891
Malignant neoplasm of trachea bronchus and lung,2005,33486
Influenza and pneumonia,2005,41093
Cerebrovascular diseases,2005,57643
Ischaemic heart diseases,2005,100956
Chronic lower respiratory diseases,2006,28930
Dementia and Alzheimer disease,2006,32985
Malignant neoplasm of trachea bronchus and lung,2006,34201
Influenza and pneumonia,2006,37876
Cerebrovascular diseases,2006,55093
Ischaemic heart diseases,2006,94412
Chronic lower respiratory diseases,2007,29261
Malignant neoplasm of trachea bronchus and lung,2007,33528
Dementia and Alzheimer disease,2007,36722
Influenza and pneumonia,2007,37171
Cerebrovascular diseases,2007,47839
Ischaemic heart diseases,2007,91474
Chronic lower respiratory diseases,2008,30668
Malignant neoplasm of trachea bronchus and lung,2008,35283
Influenza and pneumonia,2008,38160
Dementia and Alzheimer disease,2008,41516
Cerebrovascular diseases,2008,53066
Ischaemic heart diseases,2008,87971
Chronic lower respiratory diseases,2009,29170
Malignant neoplasm of trachea bronchus and lung,2009,35026
Influenza and pneumonia,2009,35645
Dementia and Alzheimer disease,2009,41024
Cerebrovascular diseases,2009,49601
Ischaemic heart diseases,2009,82528
Chronic lower respiratory diseases,2010,29507
Influenza and pneumonia,2010,33749
Malignant neoplasm of trachea bronchus and lung,2010,34893
Dementia and Alzheimer disease,2010,45276
Cerebrovascular diseases,2010,49288
Ischaemic heart diseases,2010,80339
Chronic lower respiratory diseases,2011,30565
Influenza and pneumonia,2011,30853
Malignant neoplasm of trachea bronchus and lung,2011,35196
Cerebrovascular diseases,2011,41592
Dementia and Alzheimer disease,2011,45537
Ischaemic heart diseases,2011,73804
Influenza and pneumonia,2012,31060
Chronic lower respiratory diseases,2012,32566
Malignant neoplasm of trachea bronchus and lung,2012,35371
Cerebrovascular diseases,2012,41316
Dementia and Alzheimer disease,2012,53017
Ischaemic heart diseases,2012,73473
Influenza and pneumonia,2013,31610
Chronic lower respiratory diseases,2013,34025
Malignant neoplasm of trachea bronchus and lung,2013,35478
Cerebrovascular diseases,2013,40208
Dementia and Alzheimer disease,2013,56678
Ischaemic heart diseases,2013,72799
Influenza and pneumonia,2014,27904
Chronic lower respiratory diseases,2014,32970
Malignant neoplasm of trachea bronchus and lung,2014,35913
Cerebrovascular diseases,2014,39228
Dementia and Alzheimer disease,2014,57890
Ischaemic heart diseases,2014,68941
Influenza and pneumonia,2015,32678
Malignant neoplasm of trachea bronchus and lung,2015,35503
Chronic lower respiratory diseases,2015,36580
Cerebrovascular diseases,2015,40098
Dementia and Alzheimer disease,2015,69169
Ischaemic heart diseases,2015,69545
Influenza and pneumonia,2016,30094
Malignant neoplasm of trachea bronchus and lung,2016,35641
Chronic lower respiratory diseases,2016,35683
Cerebrovascular diseases,2016,37692
Ischaemic heart diseases,2016,65824
Dementia and Alzheimer disease,2016,70354
Influenza and pneumonia,2017,30208
Malignant neoplasm of trachea bronchus and lung,2017,35170
Chronic lower respiratory diseases,2017,36197
Cerebrovascular diseases,2017,36546
Ischaemic heart diseases,2017,66091
Dementia and Alzheimer disease,2017,76075
Influenza and pneumonia,2018,32322
Malignant neoplasm of trachea bronchus and lung,2018,34599
Cerebrovascular diseases,2018,35960
Chronic lower respiratory diseases,2018,36771
Ischaemic heart diseases,2018,63876
Dementia and Alzheimer disease,2018,77986
